function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
FUN_08075390,08075390,x86,gcc,O3,1,1,0,0,23,36,15,11,9,0.3055555555555556,4.217391304347826,1,19,97,1.2672140434340962,0.1500856806916609,502.0,13,0.08993576017130621,0.1670235546038544,0.08565310492505353,0.006423982869379015,0.006423982869379015,0.0,8,0,44,78,81,64,0.08565310492505353,5.839483677764997,2.4634855484902456,0.15463917525773196,48,unknown,11,25,11,1.4722222222222223,unknown,1,unknown
FUN_080754d0,080754d0,x86,gcc,O3,1,1,0,0,39,67,30,13,13,0.19402985074626866,4.051282051282051,1,38,158,1.218867991297236,0.16738968970866974,640.0,28,0.06567164179104477,0.16417910447761194,0.1,0.0029850746268656717,0.0,0.0,1,0,72,110,112,77,0.1,6.033929187939593,2.3335055896577335,0.189873417721519,59,unknown,25,42,13,1.2835820895522387,unknown,1,unknown
FUN_08075730,08075730,x86,gcc,O3,1,1,0,0,70,109,41,29,28,0.26605504587155965,4.514285714285714,3,21,316,1.5000281261298287,0.10319563279138701,1002.0,39,0.13545521835677277,0.11991117690599556,0.12139156180606958,0.0022205773501110288,0.01776461880088823,0.0,23,0,1104,162,165,266,0.12139156180606958,5.964877144455974,2.52312780619283,0.12974683544303797,99,unknown,36,73,29,1.091743119266055,unknown,1,unknown
FUN_08076170,08076170,x86,gcc,O3,1,1,0,0,15,29,16,6,6,0.20689655172413793,5.733333333333333,1,19,86,1.6154934754028643,0.12408951365108081,300.0,14,0.1,0.14210526315789473,0.12631578947368421,0.002631578947368421,0.002631578947368421,0.0,6,0,64,54,55,65,0.12631578947368421,5.948043309908482,2.5595493604114687,0.18604651162790697,49,unknown,10,19,6,1.793103448275862,unknown,1,unknown
FUN_08076280,08076280,x86,gcc,O3,1,1,0,0,7,8,3,1,1,0.125,2.857142857142857,2,5,20,1.0086617068140422,0.21013153513153512,172.0,1,0.030303030303030304,0.36363636363636365,0.030303030303030304,0.01818181818181818,0.0,0.024242424242424242,0,0,8,64,75,7,0.030303030303030304,4.930473992176587,2.2465145747190753,0.15,17,unknown,3,5,1,4.375,unknown,1,unknown
FUN_080762c0,080762c0,x86,gcc,O3,1,1,0,0,11,19,10,5,5,0.2631578947368421,5.363636363636363,2,11,59,1.3189678722402542,0.12454521550819693,224.0,8,0.09454545454545454,0.14545454545454545,0.12,0.0036363636363636364,0.007272727272727273,0.0,0,0,40,40,41,44,0.12,5.753695433868137,2.556455732116812,0.1694915254237288,33,unknown,7,12,5,1.736842105263158,unknown,1,unknown
FUN_08076360,08076360,x86,gcc,O3,1,1,0,0,18,26,10,4,4,0.15384615384615385,7.0,1,19,126,1.007432130736108,0.11205241947124277,372.0,8,0.15411558669001751,0.16637478108581435,0.14535901926444833,0.005253940455341506,0.0297723292469352,0.010507880910683012,0,0,120,101,116,122,0.14535901926444833,5.851451125487016,2.6927594708332703,0.07936507936507936,49,unknown,9,17,4,1.1153846153846154,unknown,1,unknown
FUN_08076510,08076510,x86,gcc,O3,1,1,0,0,41,72,33,25,25,0.3472222222222222,5.536585365853658,0,26,227,1.2480760752309004,0.15012083596765946,910.0,31,0.0818268315889629,0.14462416745956233,0.13415794481446242,0.0,0.0028544243577545195,0.0009514747859181732,0,0,64,153,155,153,0.13415794481446242,5.623670263539324,2.4678819014206814,0.14537444933920704,56,unknown,25,47,25,1.6666666666666667,unknown,1,unknown
FUN_080767f0,080767f0,x86,gcc,O3,1,1,0,0,16,27,13,10,10,0.37037037037037035,6.25,1,14,100,1.431783304551843,0.0884128521065238,292.0,11,0.12147505422993492,0.11062906724511931,0.16919739696312364,0.0021691973969631237,0.010845986984815618,0.0021691973969631237,1,0,68,52,55,91,0.16919739696312364,5.56524672976171,2.745016968346557,0.13,43,unknown,7,20,10,1.4444444444444444,unknown,1,unknown
FUN_08076940,08076940,x86,gcc,O3,1,1,0,0,52,92,42,22,18,0.2391304347826087,5.5576923076923075,1,38,289,1.2150952112727476,0.1231449597120639,960.0,40,0.09992313604919292,0.12759415833973867,0.1083781706379708,0.0015372790161414297,0.013066871637202153,0.0007686395080707148,1,0,1132,167,171,221,0.1083781706379708,5.866956720464503,2.426230001466351,0.1453287197231834,86,unknown,32,60,22,1.5,unknown,1,unknown
FUN_08076d40,08076d40,x86,gcc,O3,1,1,0,0,1,1,2,1,1,1.0,9.0,0,2,9,1.569285956697444,0.0851063829787234,22.0,0,0.1276595744680851,0.0851063829787234,0.23404255319148937,0.0,0.0,0.0,0,0,20,4,4,13,0.23404255319148937,3.4029100796497276,2.812375365047388,0.2222222222222222,5,unknown,0,1,1,0.0,unknown,1,unknown
FUN_08077070,08077070,x86,gcc,O3,1,1,0,0,19,34,17,10,9,0.29411764705882354,4.421052631578948,1,19,84,1.2662399254821533,0.1445889133198101,338.0,15,0.06699751861042183,0.15384615384615385,0.0967741935483871,0.004962779156327543,0.0024813895781637717,0.0,0,0,8,62,64,56,0.0967741935483871,5.749290034334033,2.505002237893663,0.20238095238095238,42,unknown,10,24,10,1.3823529411764706,unknown,1,unknown
FUN_08077310,08077310,x86,gcc,O3,1,1,0,0,1,2,3,1,1,0.5,15.0,0,3,15,1.8693491773992794,0.08571428571428572,38.0,1,0.11428571428571428,0.08571428571428572,0.21428571428571427,0.0,0.0,0.0,0,0,16,6,6,18,0.21428571428571427,4.381467880199448,2.8034650742618803,0.2,8,unknown,0,2,1,0.0,unknown,1,unknown
